Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;8;152;4.8;5.1;4.8;5.1;0.0;107.4;183.7;31;42.4061;27.37;1.117;3.98;3.798; 24.50 ;30.10;24.841
1;9;153;4.8;5.7;4.9;5.8;286.3;107.4;69.5;188.2;227.6862;144.64;2.017;4.13;4.503; 25.07 ;30.61;25.83
1;10;154;5.0;6.2;4.9;6.1;286.3;107.4;80.7;321.4;464.1876;307.89;2.567;4.41;4.553; 25.63 ;30.74;27.283
1;11;155;4.9;5.5;4.9;5.4;286.3;107.4;67.4;286.3;652.2017;408.42;2.642;4.63;4.083; 26.20 ;30.61;28.741
1;12;156;4.8;5.5;4.9;5.6;286.3;107.4;216.7;507.6;789.5269;499.99;3.533;4.64;3.804; 26.77 ;30.21;30.018
1;13;157;4.7;5.4;4.7;5.4;286.3;107.4;310.6;581.7;845.9317;567.44;4.075;4.6;4.069; 27.33 ;29.50;30.754
1;14;158;4.8;5.5;4.7;5.6;286.3;107.4;432.2;802;838.9387;535.63;4.183;4.21;4.476; 27.90 ;28.27;30.905
1;15;159;4.8;5.5;4.8;5.4;286.3;107.4;245.4;715.9;732.9339;531.89;4.275;4.17;4.441; 27.66 ;27.35;31.093
1;16;160;5.0;5.4;5.0;5.3;286.3;107.4;56.4;567.7;585.7853;409.01;4.083;4.3;4.65; 27.42 ;26.75;31.162
1;17;161;5.4;4.8;5.3;4.8;286.3;107.4;95.1;313.4;403.1324;287.21;4.208;4.64;5.069; 27.18 ;26.42;30.826
1;18;162;5.1;5.0;5.2;5.1;0.0;107.4;99.1;126.2;183.3554;155.37;3.875;4.42;5.416; 26.94 ;26.05;29.868
1;19;163;4.8;5.1;4.8;5.2;0.0;107.4;121.6;15;17.0377;20.09;3.608;4.05;5.199; 26.70 ;25.68;28.643
1;20;164;4.8;5.2;4.7;5.1;0.0;107.4;134.8;0;0;0;2.617;3.78;4.798; 26.40 ;25.37;28.011
1;21;165;5.1;5.3;5.0;5.2;0.0;107.4;121.6;0;0;0;1.117;3.55;4.621; 26.10 ;25.05;27.582
1;22;166;5.2;5.6;5.2;5.6;0.0;107.4;95.1;0;0;0;1.225;3.58;4.559; 25.80 ;24.73;27.144
1;23;167;5.1;5.5;5.1;5.5;0.0;107.4;40.9;0;0;0;1.217;3.62;4.431; 25.50 ;24.42;26.678
1;24;168;5.0;5.4;4.9;5.3;0.0;107.4;17.7;0;0;0;0.775;3.73;4.017; 25.20 ;24.25;26.192
1;1;169;4.6;4.0;4.6;4.1;0.0;107.4;9.6;0;0;0;0.658;3.75;3.643; 24.90 ;24.11;25.827
1;2;170;4.8;4.3;4.8;4.3;0.0;107.4;2.4;0;0;0;0.775;3.58;3.351; 24.60 ;23.95;25.409
1;3;171;4.8;4.6;4.8;4.6;0.0;107.4;3.6;0;0;0;0.508;3.77;3.968; 24.30 ;24.17;25.31
1;4;172;4.8;4.7;4.8;4.8;0.0;107.4;7.2;0;0;0;0.717;4.46;3.951; 24.00 ;25.42;25.198
1;5;173;4.7;4.6;4.8;4.5;0.0;107.4;15.6;0;0;0;0.933;4.9;3.688; 23.70 ;26.79;24.983
1;6;174;4.6;4.3;4.6;4.3;0.0;107.4;40.9;0;0;0;0.658;4.85;3.604; 23.40 ;28.14;24.778
1;7;175;4.6;4.9;4.7;5.0;0.0;107.4;108.4;0;0;0;0.642;4.5;3.552; 23.10 ;29.28;24.659
